node_id,node_name,node_kind,inst_name,cell_name,port_name,io_type,is_sequential_cell,is_buffer_cell,is_inverter_cell,is_clock_pin,is_endpoint,x_um,y_um,inst_x_um,inst_y_um,cell_area_um2,port_cap_max_f,port_cap_min_f
252,_423_/ZN,iterm,_423_,INV_X1,ZN,OUTPUT,0,0,1,0,0,22.5075,23.1,22.23,22.4,nan,0.0,0.0
253,_426_/A,iterm,_426_,OAI21_X1,A,INPUT,0,0,0,0,0,18.1175,21.6125,17.48,21.0,nan,1.6707160548889966e-15,1.518574008606429e-15
254,_424_/ZN,iterm,_424_,NAND3_X1,ZN,OUTPUT,0,0,0,0,0,17.1775,21.853,16.72,21.0,nan,0.0,0.0
255,_426_/B1,iterm,_426_,OAI21_X1,B1,INPUT,0,0,0,0,0,17.9275,21.6125,17.48,21.0,nan,1.6620500608056379e-15,1.459831956076988e-15
256,_425_/ZN,iterm,_425_,AOI21_X1,ZN,OUTPUT,0,0,0,0,0,16.9225,23.329,16.53,22.4,nan,0.0,0.0
257,_430_/A,iterm,_430_,AOI211_X2,A,INPUT,0,0,0,0,0,18.8875,21.63,18.43,21.0,nan,3.1142199686000002e-15,2.989180117893373e-15
258,_426_/ZN,iterm,_426_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,17.86,21.789,17.48,21.0,nan,0.0,0.0
259,_428_/B,iterm,_428_,AOI211_X2,B,INPUT,0,0,0,0,0,21.314,21.72,20.9,21.0,nan,3.425452060673226e-15,3.0501510317443954e-15
260,_427_/ZN,iterm,_427_,OR4_X4,ZN,OUTPUT,0,0,0,0,0,23.2575,25.923,21.28,25.2,nan,0.0,0.0
261,_430_/B,iterm,_430_,AOI211_X2,B,INPUT,0,0,0,0,0,18.844,21.72,18.43,21.0,nan,3.425452060673226e-15,3.0501510317443954e-15
262,_428_/ZN,iterm,_428_,AOI211_X2,ZN,OUTPUT,0,0,0,0,0,21.8685,21.572,20.9,21.0,nan,0.0,0.0
263,_430_/C1,iterm,_430_,AOI211_X2,C1,INPUT,0,0,0,0,0,19.6875,21.63,18.43,21.0,nan,3.165257091803861e-15,2.649523082417951e-15
264,_429_/ZN,iterm,_429_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,20.515,21.9065,20.14,21.0,nan,0.0,0.0
265,rebuffer335/A,iterm,rebuffer335,BUF_X1,A,INPUT,0,1,0,0,0,15.705,20.3875,15.58,19.6,nan,9.746590013071316e-16,8.752499970075052e-16
266,_445_/B1,iterm,_445_,OAI21_X4,B1,INPUT,0,0,0,0,0,13.755,18.8815,12.16,18.2,nan,6.351550246852782e-15,5.556047819494118e-15
