path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
aes__clk738ps__abc0__pd500__rla035__path0068,sa13_sr[7]$_DFF_P_/Q,sa12_sr[7]$_DFF_P_/D,clk,9.274e-10,9.072e-10,-2.018e-11,68
aes__clk738ps__abc0__pd500__rla035__path0069,sa30_sr[4]$_DFF_P_/Q,sa00_sr[4]$_DFF_P_/D,clk,9.169e-10,8.969e-10,-2.007e-11,69
aes__clk738ps__abc0__pd500__rla035__path0070,sa30_sr[7]$_DFF_P_/Q,sa31_sr[0]$_DFF_P_/D,clk,9.077e-10,8.879e-10,-1.985e-11,70
aes__clk738ps__abc0__pd500__rla035__path0071,sa10_sr[2]$_DFF_P_/Q,sa13_sr[7]$_DFF_P_/D,clk,9.118e-10,8.92e-10,-1.984e-11,71
aes__clk738ps__abc0__pd500__rla035__path0072,sa30_sr[1]$_DFF_P_/Q,sa00_sr[0]$_DFF_P_/D,clk,9.152e-10,8.961e-10,-1.904e-11,72
aes__clk738ps__abc0__pd500__rla035__path0073,sa13_sr[3]$_DFF_P_/Q,sa30_sr[6]$_DFF_P_/D,clk,9.154e-10,8.966e-10,-1.883e-11,73
aes__clk738ps__abc0__pd500__rla035__path0074,sa32_sr[7]$_DFF_P_/Q,sa20_sr[2]$_DFF_P_/D,clk,9.196e-10,9.01e-10,-1.862e-11,74
aes__clk738ps__abc0__pd500__rla035__path0075,sa20_sr[1]$_DFF_P_/Q,sa31_sr[5]$_DFF_P_/D,clk,9.135e-10,8.95e-10,-1.849e-11,75
aes__clk738ps__abc0__pd500__rla035__path0076,sa21_sr[4]$_DFF_P_/Q,sa01_sr[5]$_DFF_P_/D,clk,9.081e-10,8.896e-10,-1.845e-11,76
aes__clk738ps__abc0__pd500__rla035__path0077,sa31_sr[7]$_DFF_P_/Q,sa32_sr[1]$_DFF_P_/D,clk,9.234e-10,9.051e-10,-1.828e-11,77
aes__clk738ps__abc0__pd500__rla035__path0078,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[7]$_DFF_P_/D,clk,9.05e-10,8.871e-10,-1.791e-11,78
aes__clk738ps__abc0__pd500__rla035__path0079,sa30_sr[7]$_DFF_P_/Q,sa31_sr[2]$_DFF_P_/D,clk,9.205e-10,9.03e-10,-1.746e-11,79
aes__clk738ps__abc0__pd500__rla035__path0080,sa32_sr[7]$_DFF_P_/Q,sa20_sr[7]$_DFF_P_/D,clk,9.098e-10,8.928e-10,-1.703e-11,80
aes__clk738ps__abc0__pd500__rla035__path0081,sa31_sr[7]$_DFF_P_/Q,sa32_sr[7]$_DFF_P_/D,clk,9.103e-10,8.942e-10,-1.615e-11,81
aes__clk738ps__abc0__pd500__rla035__path0082,sa21_sr[3]$_DFF_P_/Q,sa01_sr[3]$_DFF_P_/D,clk,9.145e-10,8.984e-10,-1.609e-11,82
aes__clk738ps__abc0__pd500__rla035__path0083,sa30_sr[1]$_DFF_P_/Q,sa00_sr[3]$_DFF_P_/D,clk,9.083e-10,8.924e-10,-1.594e-11,83
aes__clk738ps__abc0__pd500__rla035__path0084,sa32_sr[5]$_DFF_P_/Q,sa11_sr[5]$_DFF_P_/D,clk,9.063e-10,8.905e-10,-1.587e-11,84
aes__clk738ps__abc0__pd500__rla035__path0085,sa21_sr[7]$_DFF_P_/Q,sa23_sr[7]$_DFF_P_/D,clk,9.043e-10,8.885e-10,-1.585e-11,85
aes__clk738ps__abc0__pd500__rla035__path0086,u0.w[1][28]$_DFF_P_/Q,u0.u3.d[6]$_DFF_P_/D,clk,9.08e-10,8.922e-10,-1.575e-11,86
aes__clk738ps__abc0__pd500__rla035__path0087,sa10_sr[2]$_DFF_P_/Q,sa22_sr[4]$_DFF_P_/D,clk,9.138e-10,8.99e-10,-1.479e-11,87
aes__clk738ps__abc0__pd500__rla035__path0088,sa02_sr[3]$_DFF_P_/Q,sa11_sr[6]$_DFF_P_/D,clk,9.087e-10,8.944e-10,-1.433e-11,88
aes__clk738ps__abc0__pd500__rla035__path0089,sa31_sr[7]$_DFF_P_/Q,sa32_sr[5]$_DFF_P_/D,clk,9.075e-10,8.934e-10,-1.413e-11,89
aes__clk738ps__abc0__pd500__rla035__path0090,sa30_sr[7]$_DFF_P_/Q,sa31_sr[1]$_DFF_P_/D,clk,9.016e-10,8.876e-10,-1.397e-11,90
aes__clk738ps__abc0__pd500__rla035__path0091,sa32_sr[7]$_DFF_P_/Q,sa20_sr[0]$_DFF_P_/D,clk,9.106e-10,8.967e-10,-1.391e-11,91
aes__clk738ps__abc0__pd500__rla035__path0092,sa02_sr[3]$_DFF_P_/Q,sa11_sr[0]$_DFF_P_/D,clk,9.047e-10,8.909e-10,-1.389e-11,92
aes__clk738ps__abc0__pd500__rla035__path0093,sa10_sr[2]$_DFF_P_/Q,sa13_sr[2]$_DFF_P_/D,clk,9.162e-10,9.025e-10,-1.363e-11,93
aes__clk738ps__abc0__pd500__rla035__path0094,sa32_sr[7]$_DFF_P_/Q,sa20_sr[4]$_DFF_P_/D,clk,9.057e-10,8.921e-10,-1.36e-11,94
aes__clk738ps__abc0__pd500__rla035__path0095,sa22_sr[1]$_DFF_P_/Q,sa20_sr[3]$_DFF_P_/D,clk,9.15e-10,9.014e-10,-1.36e-11,95
aes__clk738ps__abc0__pd500__rla035__path0096,sa32_sr[7]$_DFF_P_/Q,sa20_sr[5]$_DFF_P_/D,clk,9.09e-10,8.955e-10,-1.348e-11,96
aes__clk738ps__abc0__pd500__rla035__path0097,sa12_sr[7]$_DFF_P_/Q,sa11_sr[3]$_DFF_P_/D,clk,9.049e-10,8.915e-10,-1.344e-11,97
aes__clk738ps__abc0__pd500__rla035__path0098,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[3]$_DFF_P_/D,clk,9.133e-10,9.001e-10,-1.324e-11,98
aes__clk738ps__abc0__pd500__rla035__path0099,u0.w[2][0]$_DFF_P_/Q,u0.u2.d[3]$_DFF_P_/D,clk,9.099e-10,8.968e-10,-1.312e-11,99
aes__clk738ps__abc0__pd500__rla035__path0100,sa10_sr[2]$_DFF_P_/Q,sa13_sr[3]$_DFF_P_/D,clk,9.072e-10,8.946e-10,-1.257e-11,100
aes__clk738ps__abc0__pd500__rla035__path0101,sa10_sr[2]$_DFF_P_/Q,sa13_sr[5]$_DFF_P_/D,clk,9.227e-10,9.103e-10,-1.245e-11,101
aes__clk738ps__abc0__pd500__rla035__path0102,sa30_sr[7]$_DFF_P_/Q,sa31_sr[3]$_DFF_P_/D,clk,9.165e-10,9.042e-10,-1.228e-11,102
aes__clk738ps__abc0__pd500__rla035__path0103,sa21_sr[4]$_DFF_P_/Q,sa01_sr[2]$_DFF_P_/D,clk,9.071e-10,8.949e-10,-1.225e-11,103
aes__clk738ps__abc0__pd500__rla035__path0104,sa02_sr[3]$_DFF_P_/Q,sa11_sr[1]$_DFF_P_/D,clk,9.046e-10,8.923e-10,-1.224e-11,104
aes__clk738ps__abc0__pd500__rla035__path0105,sa01_sr[3]$_DFF_P_/Q,sa32_sr[3]$_DFF_P_/D,clk,9.078e-10,8.958e-10,-1.203e-11,105
aes__clk738ps__abc0__pd500__rla035__path0106,sa32_sr[7]$_DFF_P_/Q,sa20_sr[6]$_DFF_P_/D,clk,9.064e-10,8.947e-10,-1.168e-11,106
aes__clk738ps__abc0__pd500__rla035__path0107,sa21_sr[4]$_DFF_P_/Q,sa01_sr[0]$_DFF_P_/D,clk,9.047e-10,8.933e-10,-1.141e-11,107
aes__clk738ps__abc0__pd500__rla035__path0108,sa32_sr[7]$_DFF_P_/Q,sa20_sr[1]$_DFF_P_/D,clk,9.077e-10,8.967e-10,-1.097e-11,108
aes__clk738ps__abc0__pd500__rla035__path0109,sa30_sr[1]$_DFF_P_/Q,sa13_sr[0]$_DFF_P_/D,clk,9.114e-10,9.011e-10,-1.035e-11,109
aes__clk738ps__abc0__pd500__rla035__path0110,sa31_sr[4]$_DFF_P_/Q,sa10_sr[6]$_DFF_P_/D,clk,9.075e-10,8.973e-10,-1.019e-11,110
aes__clk738ps__abc0__pd500__rla035__path0111,sa21_sr[1]$_DFF_P_/Q,sa32_sr[2]$_DFF_P_/D,clk,9.13e-10,9.036e-10,-9.42e-12,111
aes__clk738ps__abc0__pd500__rla035__path0112,sa21_sr[4]$_DFF_P_/Q,sa01_sr[6]$_DFF_P_/D,clk,9.036e-10,8.946e-10,-8.991e-12,112
aes__clk738ps__abc0__pd500__rla035__path0113,sa12_sr[7]$_DFF_P_/Q,sa11_sr[4]$_DFF_P_/D,clk,9.098e-10,9.025e-10,-7.264e-12,113
aes__clk738ps__abc0__pd500__rla035__path0114,sa21_sr[7]$_DFF_P_/Q,sa10_sr[2]$_DFF_P_/D,clk,9.046e-10,8.974e-10,-7.205e-12,114
aes__clk738ps__abc0__pd500__rla035__path0115,sa32_sr[7]$_DFF_P_/Q,sa33_sr[0]$_DFF_P_/D,clk,9.037e-10,8.966e-10,-7.096e-12,115
aes__clk738ps__abc0__pd500__rla035__path0116,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[1]$_DFF_P_/D,clk,8.931e-10,8.861e-10,-6.971e-12,116
aes__clk738ps__abc0__pd500__rla035__path0117,u0.w[2][18]$_DFF_P_/Q,u0.u0.d[5]$_DFF_P_/D,clk,9e-10,8.943e-10,-5.643e-12,117
aes__clk738ps__abc0__pd500__rla035__path0118,sa12_sr[7]$_DFF_P_/Q,sa11_sr[2]$_DFF_P_/D,clk,8.96e-10,8.907e-10,-5.335e-12,118
aes__clk738ps__abc0__pd500__rla035__path0119,sa02_sr[7]$_DFF_P_/Q,sa02_sr[3]$_DFF_P_/D,clk,8.981e-10,8.928e-10,-5.315e-12,119
aes__clk738ps__abc0__pd500__rla035__path0120,sa30_sr[7]$_DFF_P_/Q,sa22_sr[3]$_DFF_P_/D,clk,8.974e-10,8.924e-10,-5.005e-12,120
aes__clk738ps__abc0__pd500__rla035__path0121,sa13_sr[2]$_DFF_P_/Q,sa30_sr[7]$_DFF_P_/D,clk,8.992e-10,8.946e-10,-4.672e-12,121
aes__clk738ps__abc0__pd500__rla035__path0122,sa21_sr[3]$_DFF_P_/Q,sa01_sr[7]$_DFF_P_/D,clk,9.038e-10,8.996e-10,-4.183e-12,122
aes__clk738ps__abc0__pd500__rla035__path0123,sa10_sr[4]$_DFF_P_/Q,sa22_sr[7]$_DFF_P_/D,clk,8.944e-10,8.912e-10,-3.169e-12,123
aes__clk738ps__abc0__pd500__rla035__path0124,sa30_sr[7]$_DFF_P_/Q,sa22_sr[0]$_DFF_P_/D,clk,8.947e-10,8.916e-10,-3.076e-12,124
aes__clk738ps__abc0__pd500__rla035__path0125,u0.w[2][0]$_DFF_P_/Q,u0.u2.d[5]$_DFF_P_/D,clk,8.97e-10,8.958e-10,-1.245e-12,125
aes__clk738ps__abc0__pd500__rla035__path0126,sa10_sr[2]$_DFF_P_/Q,sa22_sr[6]$_DFF_P_/D,clk,8.919e-10,8.91e-10,-9.566e-13,126
aes__clk738ps__abc0__pd500__rla035__path0127,sa01_sr[5]$_DFF_P_/Q,sa01_sr[4]$_DFF_P_/D,clk,8.91e-10,8.904e-10,-5.686e-13,127
aes__clk738ps__abc0__pd500__rla035__path0128,u0.w[2][0]$_DFF_P_/Q,u0.u2.d[0]$_DFF_P_/D,clk,8.892e-10,8.889e-10,-2.86e-13,128
aes__clk738ps__abc0__pd500__rla035__path0129,sa10_sr[2]$_DFF_P_/Q,sa22_sr[5]$_DFF_P_/D,clk,8.972e-10,8.975e-10,2.215e-13,129
aes__clk738ps__abc0__pd500__rla035__path0130,sa13_sr[7]$_DFF_P_/Q,sa12_sr[5]$_DFF_P_/D,clk,8.959e-10,8.962e-10,2.928e-13,130
aes__clk738ps__abc0__pd500__rla035__path0131,u0.r0.out[24]$_SDFF_PP1_/Q,u0.u3.d[5]$_DFF_P_/D,clk,8.954e-10,8.964e-10,9.746e-13,131
aes__clk738ps__abc0__pd500__rla035__path0132,sa13_sr[7]$_DFF_P_/Q,sa12_sr[1]$_DFF_P_/D,clk,9.031e-10,9.041e-10,1.047e-12,132
aes__clk738ps__abc0__pd500__rla035__path0133,sa13_sr[3]$_DFF_P_/Q,sa30_sr[1]$_DFF_P_/D,clk,8.852e-10,8.863e-10,1.176e-12,133
aes__clk738ps__abc0__pd500__rla035__path0134,u0.w[0][11]$_DFF_P_/Q,u0.u1.d[4]$_DFF_P_/D,clk,8.959e-10,8.971e-10,1.2e-12,134
aes__clk738ps__abc0__pd500__rla035__path0135,sa13_sr[7]$_DFF_P_/Q,sa12_sr[4]$_DFF_P_/D,clk,9.048e-10,9.062e-10,1.356e-12,135
aes__clk738ps__abc0__pd500__rla035__path0136,sa21_sr[3]$_DFF_P_/Q,sa32_sr[4]$_DFF_P_/D,clk,8.98e-10,8.996e-10,1.606e-12,136
aes__clk738ps__abc0__pd500__rla035__path0137,u0.w[2][0]$_DFF_P_/Q,u0.u2.d[6]$_DFF_P_/D,clk,8.84e-10,8.857e-10,1.662e-12,137
aes__clk738ps__abc0__pd500__rla035__path0138,u0.w[2][10]$_DFF_P_/Q,u0.u1.d[0]$_DFF_P_/D,clk,8.965e-10,8.987e-10,2.24e-12,138
aes__clk738ps__abc0__pd500__rla035__path0139,sa10_sr[4]$_DFF_P_/Q,sa22_sr[2]$_DFF_P_/D,clk,8.978e-10,9.002e-10,2.437e-12,139
aes__clk738ps__abc0__pd500__rla035__path0140,sa13_sr[7]$_DFF_P_/Q,sa12_sr[0]$_DFF_P_/D,clk,8.989e-10,9.017e-10,2.819e-12,140
aes__clk738ps__abc0__pd500__rla035__path0141,sa13_sr[7]$_DFF_P_/Q,sa12_sr[3]$_DFF_P_/D,clk,9.043e-10,9.08e-10,3.718e-12,141
